Event Name,Division,EventID,EventType,EventTour,EventLength,Event Date
DGPT All-Stars,MPO,1,Other,DGPT,2,2/20/2021
LVC,MPO,47877,Elite,DGPT,4,2/25/2021
Waco,MPO,48685,Elite,DGPT,3,3/12/2021
Open at Belton,MPO,47888,Silver,DGPT,3,3/19/2021
Texas State Disc Golf Championship,MPO,47512,NT,NT,3,3/26/2021
Vintage Open,MPO,48119,Silver,DGPT,3,4/8/2021
Jonesboro,MPO,48567,Elite,DGPT,3,4/16/2021
Mid-America,MPO,48121,Silver,DGPT,3,4/23/2021
Dynamic Discs Open,MPO,47516,NT,NT,4,4/28/2021
Goat Hill,MPO,48283,Silver,DGPT,3,5/7/2021
Helsinki,MPO,51582,PDPT,PDPT,3,5/14/2021
OTB Open,MPO,48172,Elite,DGPT,3,5/14/2021
US Women's DG Championship,MPO,47519,Major,Major,3,5/21/2021
Tampere,MPO,51583,PDPT,PDPT,3,5/28/2021
Santa Cruz Masters Cup,MPO,47514,NT,NT,3,5/28/2021
Portland,MPO,48686,Elite,DGPT,3,6/4/2021
Resistance Discs Open,MPO,51625,Silver,DGPT,3,6/11/2021
Turku,MPO,52349,PDPT,PDPT,3,6/11/2021
Worlds,MPO,47784,Major,Major,5,6/22/2021
Tyyni,MPO,47445,Euro,Euro,3,7/1/2021
Clash at the Canyons,MPO,48112,Silver,DGPT,3,7/2/2021
PCS Sula Open,MPO,47446,Euro,Euro,4,7/7/2021
Des Moines Challenge,MPO,52009,DGPT,DGPT,3,7/9/2021
Alutaguse Open,MPO,47442,Euro,Euro,3,7/15/2021
DGLO,MPO,48338,Elite,DGPT,3,7/23/2021
Estonian Open,MPO,47447,Euro,Euro,3,7/23/2021
Kuopio,MPO,53211,PDPT,PDPT,3,7/30/2021
Preserve,MPO,48687,Elite,DGPT,3,7/30/2021
Ledgestone,MPO,47981,Elite,DGPT,4,8/5/2021
Euros,MPO,50171,Major,Major,4,8/11/2021
Idlewild,MPO,48688,Elite,DGPT,3,8/13/2021
Stafford,MPO,47835,Silver,DGPT,3,8/20/2021
Delaware Disc Golf Challenge,MPO,47520,NT,NT,3,8/27/2021
Heinola,MPO,2,PDPT,PDPT,3,9/3/2021
MVP Open,MPO,49214,Elite,DGPT,3,9/3/2021
GMC,MPO,48690,Elite,DGPT,4,9/9/2021
Music City Open,MPO,47541,NT,NT,4,9/23/2021
Pro Forester,MPO,47444,Euro,Euro,3,9/24/2021
USDGC,MPO,47518,Major,Major,4,10/6/2021
USWDGC,MPO,50023,Major,Major,4,10/6/2021
Tour Championship,MPO,48691,Other,DGPT,4,10/14/2021
DGPT All-Stars,FPO,1,Other,DGPT,2,2/20/2021
LVC,MPO,47877,Elite,DGPT,4,2/25/2021
Waco,MPO,48685,Elite,DGPT,3,3/12/2021
Open at Belton,MPO,47888,Silver,DGPT,3,3/19/2021
Texas State Disc Golf Championship,MPO,47512,NT,NT,3,3/26/2021
Vintage Open,MPO,48119,Silver,DGPT,3,4/8/2021
Jonesboro,MPO,48567,Elite,DGPT,3,4/16/2021
Mid-America,MPO,48121,Silver,DGPT,3,4/23/2021
Dynamic Discs Open,MPO,47516,NT,NT,4,4/28/2021
Goat Hill,MPO,48283,Silver,DGPT,3,5/7/2021
Helsinki,MPO,51582,PDPT,PDPT,3,5/14/2021
OTB Open,MPO,48172,Elite,DGPT,3,5/14/2021
US Women's DG Championship,MPO,47519,Major,Major,3,5/21/2021
Tampere,MPO,51583,PDPT,PDPT,3,5/28/2021
Santa Cruz Masters Cup,MPO,47514,NT,NT,3,5/28/2021
Portland,MPO,48686,Elite,DGPT,3,6/4/2021
Resistance Discs Open,MPO,51625,Silver,DGPT,3,6/11/2021
Turku,FPO,52349,PDPT,PDPT,3,6/11/2021
Worlds,MPO,47784,Major,Major,5,6/22/2021
Tyyni,MPO,47445,Euro,Euro,3,7/1/2021
Clash at the Canyons,MPO,48112,Silver,DGPT,3,7/2/2021
PCS Sula Open,MPO,47446,Euro,Euro,4,7/7/2021
Des Moines Challenge,MPO,52009,DGPT,DGPT,3,7/9/2021
Alutaguse Open,MPO,47442,Euro,Euro,3,7/15/2021
DGLO,MPO,48338,Elite,DGPT,3,7/23/2021
Estonian Open,MPO,47447,Euro,Euro,3,7/23/2021
Kuopio,MPO,NA,PDPT,PDPT,3,7/30/2021
Preserve,MPO,48687,Elite,DGPT,3,7/30/2021
Ledgestone,MPO,47981,Elite,DGPT,4,8/5/2021
Euros,MPO,50171,Major,Major,4,8/11/2021
Idlewild,MPO,48688,Elite,DGPT,3,8/13/2021
Stafford,MPO,47835,Silver,DGPT,3,8/20/2021
Delaware Disc Golf Challenge,MPO,47520,NT,NT,3,8/27/2021
Heinola,MPO,NA,PDPT,PDPT,3,9/3/2021
MVP Open,MPO,49214,Elite,DGPT,3,9/3/2021
GMC,MPO,48690,Elite,DGPT,4,9/9/2021
Music City Open,MPO,47541,NT,NT,4,9/23/2021
Pro Forester,MPO,47444,Euro,Euro,3,9/24/2021
USDGC,MPO,47518,Major,Major,4,10/6/2021
USWDGC,MPO,50023,Major,Major,4,10/6/2021
Tour Championship,MPO,48691,Other,DGPT,4,10/14/2021