,Name,PDGANumber,Division,EventTour,TopEight,TopSixteen,TopThirtyTwo,AverageFinish,SilverSeriesStops,EliteSeriesStops,PDPTStops,NTStopsBeforeMCO
0,Richard Wysocki,38008,MPO,NT,1000,1000,1000,1.105,0,0,0,4
1,Hailey King,81351,FPO,NT,1000,1000,1000,2.648,0,0,0,3
2,Matthew Orum,18330,MPO,NT,0,438,956,18.85,0,0,0,2
3,Holly Finley,51277,FPO,NT,702,1000,1000,7.648,0,0,0,3
4,Paul McBeth,27523,MPO,NT,1000,1000,1000,3.66,0,0,0,3
5,Rebecca Cox,32917,FPO,NT,0,200,1000,18.429,0,0,0,3
6,Chris Dickerson,62467,MPO,NT,857,998,1000,6.358,0,0,0,3
7,Catrina Allen,44184,FPO,NT,1000,1000,1000,1.0,0,0,0,4
8,Alexis Mandujano,62880,FPO,NT,0,1000,1000,13.883,0,0,0,3
9,Missy Gannon,85942,FPO,NT,337,1000,1000,8.932,0,0,0,3
10,Garrett Gurthie,13864,MPO,NT,95,657,1000,15.115,0,0,0,4
11,Kevin Jones,41760,MPO,NT,965,1000,1000,6.895,0,0,0,3
12,Calvin Heimburg,45971,MPO,NT,964,1000,1000,3.9,0,0,0,4
13,Valerie Mandujano,62879,FPO,NT,0,1000,1000,11.292,0,0,0,3
14,James Conrad,17295,MPO,NT,949,1000,1000,4.081,0,0,0,4
15,Eagle Wynne McMahon,37817,MPO,NT,0,440,1000,16.754,0,0,0,2
16,Jessica Weese,50656,FPO,NT,733,999,1000,7.465,0,0,0,4
17,Casey White,81739,MPO,NT,412,943,1000,10.263,0,0,0,4
18,Sarah Hokom,34563,FPO,NT,44,916,1000,12.888,0,0,0,3
19,Ohn Scoggins,48976,FPO,NT,0,865,1000,15.609,0,0,0,3
20,Gregg Barsby,15857,MPO,NT,0,958,1000,13.887,0,0,0,3
21,Paige Pierce,29190,FPO,NT,998,1000,1000,4.078,0,0,0,3
22,Jeremy Koling,33705,MPO,NT,0,0,1000,23.481,0,0,0,2
23,Nathan Queen,68286,MPO,NT,0,5,658,31.321,0,0,0,3
24,Joel Freeman,69509,MPO,NT,2,300,908,21.243,0,0,0,3
25,Alden Harris,98091,MPO,NT,332,755,1000,11.578,0,0,0,4
26,Heather Young,100965,FPO,NT,615,991,1000,8.224,0,0,0,3
27,Stephanie Vincent,29947,FPO,NT,0,0,1000,22.654,0,0,0,2
28,Lisa Fajkus,32654,FPO,NT,0,246,1000,17.046,0,0,0,3
29,Erika Stinchcomb,71262,FPO,NT,629,1000,1000,7.959,0,0,0,4
30,Nikko Locastro,11534,MPO,NT,0,0,658,31.779,0,0,0,3
31,Emerson Keith,47472,MPO,NT,79,610,1000,15.71,0,0,0,4
32,Terry Rothlisberger,57493,MPO,NT,0,0,365,38.816,0,0,0,3
33,Austin Hoop,72423,MPO,NT,0,0,0,51.799,0,0,0,2
34,Kat Mertsch,99455,FPO,NT,717,1000,1000,7.383,0,0,0,4
35,Casey Pennington,74708,FPO,NT,0,0,0,43.203,0,0,0,1
36,Sara Sinclair,41012,FPO,NT,0,0,1000,22.389,0,0,0,3
37,Sami Keddington,52010,FPO,NT,0,0,0,46.921,0,0,0,1
38,Maria Oliva,63257,FPO,NT,0,18,1000,18.15,0,0,0,3
39,Chandler Fry,25541,MPO,NT,0,253,905,22.329,0,0,0,3
40,Colten Montgomery,35876,MPO,NT,149,650,1000,14.559,0,0,0,4
41,Alex Russell,66362,MPO,NT,17,365,1000,19.908,0,0,0,3
42,Kyle Klein,85132,MPO,NT,0,0,1000,25.507,0,0,0,2
43,Ellen Widboom,58276,FPO,NT,320,971,1000,10.411,0,0,0,4
44,Krissie Fountain,73693,FPO,NT,0,0,0,51.043,0,0,0,1
45,Des Reading,15863,FPO,NT,0,0,0,52.617,0,0,0,1
46,Brian Earhart,45879,MPO,NT,0,0,101,53.956,0,0,0,4
47,Matt Bell,48950,MPO,NT,17,398,1000,19.568,0,0,0,4
48,Ezra Robinson,50671,MPO,NT,1,305,959,21.377,0,0,0,3
49,Adam Hammes,57365,MPO,NT,964,1000,1000,3.743,0,0,0,4
50,Nate Perkins,65737,MPO,NT,0,0,94,53.718,0,0,0,2
51,Julie Eagle,78135,FPO,NT,0,0,1000,26.969,0,0,0,2
52,Raven Newsom,88212,MPO,NT,0,74,681,27.62,0,0,0,4
53,Brodie Smith,128378,MPO,NT,0,0,0,43.371,0,0,0,2
54,Deann Carey,66842,FPO,NT,23,605,1000,15.571,0,0,0,4
55,Kona Star Panis,27832,FPO,NT,1000,1000,1000,2.41,0,0,0,4
56,Stacie Rawnsley,122208,FPO,NT,2,292,1000,17.713,0,0,0,4
57,Shannon Prendergast,65961,FPO,NT,0,0,1000,22.058,0,0,0,3
58,Hannah McBeth,66939,FPO,NT,0,0,851,31.778,0,0,0,2
59,Jenny Umstead,42066,FPO,NT,0,0,0,63.0,0,0,0,1
60,Miles Seaborn,29264,MPO,NT,0,0,0,39.607,0,0,0,2
61,Bradley Williams,31644,MPO,NT,0,0,237,46.832,0,0,0,2
62,Zach Melton,38631,MPO,NT,0,0,74,56.179,0,0,0,3
63,Chris Clemons,50401,MPO,NT,43,562,1000,16.685,0,0,0,4
64,Esther Schultz,79049,FPO,NT,0,0,0,64.0,0,0,0,1
65,Rochelle Browning,101496,FPO,NT,0,0,0,67.0,0,0,0,1
66,Katelyn Belty,106422,FPO,NT,0,0,0,40.254,0,0,0,2
67,Chelsea Harden,63377,FPO,NT,0,0,0,41.538,0,0,0,2
68,Anna Pinter,106489,FPO,NT,0,0,0,45.544,0,0,0,2
69,Chris Harris,37146,MPO,NT,0,0,0,76.425,0,0,0,1
70,Luke Humphries,69424,MPO,NT,0,0,0,76.425,0,0,0,2
71,Elijah Bickel,94844,MPO,NT,0,0,0,76.425,0,0,0,2
72,Hali Trevena,56845,FPO,NT,0,0,0,71.0,0,0,0,1
73,Christina Linthicum,50045,FPO,NT,0,0,0,74.0,0,0,0,1
74,Benjamin Callaway,39015,MPO,NT,44,490,1000,17.451,0,0,0,4
75,Mason Ford,72844,MPO,NT,0,0,0,38.607,0,0,0,3
76,Jason Mathe,98861,MPO,NT,0,0,0,84.316,0,0,0,1
77,Chandler Kramer,139228,MPO,NT,0,0,0,84.316,0,0,0,1
78,Austin Hannum,68835,MPO,NT,0,0,276,44.434,0,0,0,4
79,Thomas Gilbert,85850,MPO,NT,0,0,5,36.441,0,0,0,3
80,Kevin Kiefer III,97115,MPO,NT,0,0,0,92.71,0,0,0,1
81,Jonathan Nicholson,101390,MPO,NT,0,0,12,68.578,0,0,0,4
82,Nolan Grider,13219,MPO,NT,0,0,0,92.71,0,0,0,1
83,Coda Hatfield,23651,MPO,NT,0,0,0,92.71,0,0,0,1
84,Paul Ulibarri,27171,MPO,NT,134,697,1000,14.028,0,0,0,4
85,Tanner Girouard,88077,MPO,NT,0,0,0,92.71,0,0,0,1
86,Timothy Escobedo Jr,22698,MPO,NT,0,0,0,92.71,0,0,0,1
87,Chase Van Burkleo,58680,MPO,NT,0,0,0,92.71,0,0,0,1
88,John Willis II,23844,MPO,NT,0,0,0,92.71,0,0,0,2
89,Alan Wagner,28550,MPO,NT,0,0,4,76.156,0,0,0,4
90,Michael Hoffman,46997,MPO,NT,0,0,0,88.914,0,0,0,2
91,Jesse Ginthum,49975,MPO,NT,0,0,0,92.71,0,0,0,2
92,Eric Oakley,53565,MPO,NT,0,93,745,26.315,0,0,0,4
93,Isaac Marrs,65220,MPO,NT,0,0,0,92.71,0,0,0,1
94,Jason Hebenheimer,43762,MPO,NT,0,0,31,54.935,0,0,0,4
95,Zackeriath Johnson,50312,MPO,NT,0,0,0,44.897,0,0,0,2
96,Trevon Crowe,67172,MPO,NT,0,0,0,84.523,0,0,0,2
97,Aidan Guthrie,96832,MPO,NT,0,0,0,92.71,0,0,0,1
98,Connor O'Reilly,99648,MPO,NT,0,0,3,74.39,0,0,0,4
99,Reid Frescura,48338,MPO,NT,0,0,0,78.988,0,0,0,3
100,Noah Meintsma,56555,MPO,NT,0,0,128,50.895,0,0,0,4
101,Ian Burchett,60435,MPO,NT,0,0,2,85.275,0,0,0,3
102,Garrett Tapken,48873,MPO,NT,0,0,0,92.71,0,0,0,1
103,Luke Samson,59419,MPO,NT,0,0,96,53.805,0,0,0,4
104,Kennan Johnson,77936,MPO,NT,0,0,0,92.71,0,0,0,1
105,Michael Arauza,87267,MPO,NT,0,0,0,92.71,0,0,0,1
106,William Schram,127314,MPO,NT,0,0,0,92.71,0,0,0,2
107,Jay Yeti Reading,15864,MPO,NT,0,0,0,92.71,0,0,0,1
108,Justin Freeman,33878,MPO,NT,0,0,0,92.71,0,0,0,1
109,Marshall Blanks,56886,MPO,NT,0,0,0,92.71,0,0,0,3
110,AJ Carey,61770,MPO,NT,0,0,167,47.662,0,0,0,4
111,Elijah Brown,141178,MPO,NT,0,0,0,92.71,0,0,0,1
112,Gavin Rathbun,60436,MPO,NT,0,0,862,30.875,0,0,0,3
113,Mark Chapalonis,70741,MPO,NT,0,0,0,86.385,0,0,0,2
114,Ezra Aderhold,121715,MPO,NT,0,10,661,31.405,0,0,0,3
115,Patrick Brown,25713,MPO,NT,0,0,0,92.71,0,0,0,1
116,G.T. Hancock,49885,MPO,NT,0,0,0,92.71,0,0,0,2
117,Anthony AP Perkins,71308,MPO,NT,0,0,0,92.71,0,0,0,1
118,James King,77736,MPO,NT,0,0,0,92.71,0,0,0,1
119,Mason Marchbanks,79753,MPO,NT,0,0,0,92.71,0,0,0,1
120,Fredy Meza,100497,MPO,NT,0,0,0,92.71,0,0,0,1
121,Seth Talbott,114877,MPO,NT,0,0,0,92.71,0,0,0,1
122,Brandon Cawthorne,60069,MPO,NT,0,0,0,92.71,0,0,0,1
123,Caleb Wilkins,60469,MPO,NT,0,0,0,92.71,0,0,0,1
124,Nathaniel Weaver,118469,MPO,NT,0,0,0,92.71,0,0,0,1
125,Kirk Trevena,45433,MPO,NT,0,0,0,92.71,0,0,0,1
126,Jeffery Franklin,100464,MPO,NT,0,0,0,92.71,0,0,0,1
127,Joey Temali,100818,MPO,NT,0,0,0,88.768,0,0,0,2
128,Jordan Smith,77952,MPO,NT,0,0,0,92.71,0,0,0,1
129,Alexander Lyon,80636,MPO,NT,0,0,0,92.71,0,0,0,2
130,Jared Stoll,68103,MPO,NT,0,0,0,92.71,0,0,0,2
131,Tyler Swanson,70601,MPO,NT,0,0,0,92.71,0,0,0,1
132,Erik Knoll,113775,MPO,NT,0,0,0,92.71,0,0,0,1
133,Caleb Sanders,127230,MPO,NT,0,0,0,92.71,0,0,0,1
134,Kyle Tiny New,57123,MPO,NT,0,0,0,92.71,0,0,0,1
135,Marcus Stephens,58712,MPO,NT,0,0,0,92.71,0,0,0,1
136,David Stepp,82360,MPO,NT,0,0,0,92.71,0,0,0,2
137,Jeremy Hunter,89729,MPO,NT,0,0,0,92.71,0,0,0,1
138,Trent Hadaway,58058,MPO,NT,0,0,0,92.71,0,0,0,1
139,Gavin Ossenkop,60331,MPO,NT,0,0,0,92.71,0,0,0,1
140,Drew Boggs,75200,MPO,NT,0,0,0,92.71,0,0,0,1
141,Noah Fiveash,99153,MPO,NT,0,0,1,86.855,0,0,0,3
142,Aaron Gossage,35449,MPO,NT,0,0,0,92.71,0,0,0,1
143,Austin Spradlin,51740,MPO,NT,0,0,0,92.71,0,0,0,1
144,James Kulinski,79476,MPO,NT,0,0,0,92.71,0,0,0,2
145,Darrin Wilder,95841,MPO,NT,0,0,0,92.71,0,0,0,1
146,Levi Hancock,103050,MPO,NT,0,0,0,85.434,0,0,0,3
147,Salem Mhanna,42671,MPO,NT,0,0,0,92.71,0,0,0,1
148,Tommy Koons,29107,MPO,NT,0,0,0,92.71,0,0,0,1
149,Matt Odenwelder,31710,MPO,NT,0,0,0,92.71,0,0,0,1
150,Alex Berg,65488,MPO,NT,0,0,0,92.71,0,0,0,2
151,Loren Lewis,68695,MPO,NT,0,0,0,92.71,0,0,0,1
152,Isaiah Morava,114044,MPO,NT,0,0,0,92.71,0,0,0,1
153,Evan Jolliff,107758,MPO,NT,0,0,0,92.71,0,0,0,1
154,Joe Bishop,49211,MPO,NT,0,0,0,92.71,0,0,0,1
155,Daniel Ainsworth,101541,MPO,NT,0,0,0,92.71,0,0,0,1
156,Mark Reynolds,45891,MPO,NT,0,0,0,92.71,0,0,0,1
157,Devontay Brown,72036,MPO,NT,0,0,0,92.71,0,0,0,1
158,Joey Duckett,39009,MPO,NT,0,0,0,92.71,0,0,0,1
159,Joey Foran,98631,MPO,NT,0,0,0,92.71,0,0,0,1
160,Chris Leifeste,20069,MPO,NT,0,0,0,92.71,0,0,0,1
161,Mark McAlister,16672,MPO,NT,0,0,0,92.71,0,0,0,1
162,Nicholas Favara,85562,MPO,NT,0,0,0,92.71,0,0,0,1
163,Joshua Brunsmann,88177,MPO,NT,0,0,0,92.71,0,0,0,1
164,Dylan Steele,105048,MPO,NT,0,0,0,92.71,0,0,0,1
165,Anthony Williams,47714,MPO,NT,0,0,0,92.71,0,0,0,1
166,Anthony Angel,83681,MPO,NT,0,0,0,92.71,0,0,0,2
167,Jonathan Glass,143717,MPO,NT,0,0,0,92.71,0,0,0,1
168,Carlton Reynolds,99695,MPO,NT,0,0,0,92.71,0,0,0,2
169,Brady O'Brien,20766,MPO,NT,0,0,0,92.71,0,0,0,1
170,Steven Sinclair,66168,MPO,NT,0,0,0,92.71,0,0,0,1
171,Mitchel Sorrels,37275,MPO,NT,0,0,0,92.71,0,0,0,1
172,Shea Callahan,36806,MPO,NT,0,0,0,92.71,0,0,0,1
173,Akeem Williams,37719,MPO,NT,0,0,0,92.71,0,0,0,1
174,Louie Garcia,40386,MPO,NT,0,0,0,92.71,0,0,0,1
175,Chase Steed,93333,MPO,NT,0,0,0,92.71,0,0,0,1
176,Kyle Griffin,67149,MPO,NT,0,0,0,92.71,0,0,0,2
177,Macie Walker,104187,FPO,NT,0,0,1000,29.286,0,0,0,1
178,Drew Gibson,48346,MPO,NT,0,43,1000,19.097,0,0,0,2
179,Jennifer Allen,15354,FPO,NT,0,0,0,34.471,0,0,0,1
180,Emily Beach,61144,FPO,NT,0,0,0,34.471,0,0,0,1
181,Andrew Presnell,63765,MPO,NT,0,0,0,44.897,0,0,0,1
182,Sarah Gilpin,87338,FPO,NT,0,0,0,38.176,0,0,0,1
183,Ty Love,89959,MPO,NT,0,0,0,49.847,0,0,0,1
184,Vanessa Van Dyken,62325,FPO,NT,0,0,1000,23.718,0,0,0,2
185,Nolan Ramser,90461,MPO,NT,0,0,0,53.773,0,0,0,1
186,Paige Shue,33833,FPO,NT,0,0,0,46.921,0,0,0,1
187,Tim Barham,53332,MPO,NT,0,0,0,56.561,0,0,0,2
188,Anthony Barela,44382,MPO,NT,0,0,0,59.745,0,0,0,1
189,Gannon Buhr,75412,MPO,NT,0,0,0,59.745,0,0,0,1
190,Cynthia Ricciotti,75029,FPO,NT,0,0,332,32.935,0,0,0,2
191,Leah Tsinajinnie,139109,FPO,NT,0,0,1000,25.65,0,0,0,3
192,Andrew Marwede,75590,MPO,NT,0,0,285,43.72,0,0,0,2
193,Clint Calvin,84958,MPO,NT,0,0,0,68.612,0,0,0,1
194,Raven Klein,138272,FPO,NT,0,0,0,59.23,0,0,0,1
195,Lauren Butler,65489,FPO,NT,0,0,0,64.0,0,0,0,1
196,Tyler Liebman,24981,MPO,NT,0,0,0,72.111,0,0,0,1
197,Alyssa Pierson,122118,FPO,NT,0,0,1000,28.056,0,0,0,3
198,Sandra Richardson,56987,FPO,NT,0,0,0,68.0,0,0,0,1
199,Jordan Castro,49431,MPO,NT,0,0,0,74.91,0,0,0,1
200,Liz Torok,100817,FPO,NT,0,0,0,69.0,0,0,0,1
201,Jennifer Wheeling,55571,FPO,NT,0,0,0,71.0,0,0,0,1
202,JohnE McCray,9852,MPO,NT,0,0,0,86.385,0,0,0,1
203,Nathan Sexton,18824,MPO,NT,0,0,0,41.544,0,0,0,2
204,Ellie Bryant,104814,FPO,NT,0,0,0,74.0,0,0,0,1
205,Callie McMorran,64751,FPO,NT,0,0,0,76.0,0,0,0,1
206,Charles Behrhorst,42202,MPO,NT,0,0,0,83.675,0,0,0,2
207,Jake Lauber,44782,MPO,NT,0,0,0,92.71,0,0,0,1
208,Kyle Giovannini,60367,MPO,NT,0,0,0,92.71,0,0,0,1
209,Trevor Harbolt,26860,MPO,NT,0,0,0,92.71,0,0,0,2
210,Justin Rosak,98161,MPO,NT,0,0,0,84.275,0,0,0,2
211,Sam Drummond,100689,MPO,NT,0,0,0,84.999,0,0,0,2
212,Sam Lee,78519,MPO,NT,0,0,0,92.71,0,0,0,1
213,J.C. Kester,36777,MPO,NT,0,0,0,92.71,0,0,0,1
214,Tristan Tanner,99053,MPO,NT,0,0,1,83.247,0,0,0,3
215,Isaiah Esquivel,77939,MPO,NT,0,0,0,92.71,0,0,0,1
216,Garry Patton,49643,MPO,NT,0,0,0,92.71,0,0,0,1
217,Grady Shue,68285,MPO,NT,0,0,0,92.71,0,0,0,1
218,Nate Metzler,41220,MPO,NT,0,0,0,92.71,0,0,0,1
219,Isaac Heinen,44919,MPO,NT,0,0,0,92.71,0,0,0,1
220,Matthew Wolf,101774,MPO,NT,0,0,0,92.71,0,0,0,1
221,D.W. Hass,94907,MPO,NT,0,0,0,92.71,0,0,0,1
222,John Jones,43834,MPO,NT,0,0,0,92.71,0,0,0,1
223,Justin Bilodeau,45478,MPO,NT,0,0,0,92.71,0,0,0,1
224,Randon Latta,51685,MPO,NT,0,0,0,92.71,0,0,0,1
225,Dallas Wrinkle,88370,MPO,NT,0,0,0,92.71,0,0,0,1
226,Logan Harpool,101319,MPO,NT,0,0,0,92.71,0,0,0,1
227,Kyle Divelbiss,104419,MPO,NT,0,0,0,92.71,0,0,0,1
228,Kade Filimoehala,104984,MPO,NT,0,0,0,92.71,0,0,0,2
229,Dan Beto,31408,MPO,NT,0,0,0,92.71,0,0,0,1
230,Aidan Brock,59742,MPO,NT,0,0,0,92.71,0,0,0,1
231,Cole Redalen,79748,MPO,NT,0,0,0,92.71,0,0,0,1
232,Alexander Krause,100061,MPO,NT,0,0,0,92.71,0,0,0,1
233,Justin Farrell,112306,MPO,NT,0,0,0,92.71,0,0,0,1
234,Stephen Schroeder,48652,MPO,NT,0,0,0,92.71,0,0,0,1
235,Gavin Babcock,80331,MPO,NT,0,0,0,82.935,0,0,0,2
236,Jeffrey Bryk,18706,MPO,NT,0,0,0,92.71,0,0,0,1
237,Sean Swihart,68043,MPO,NT,0,0,0,92.71,0,0,0,1
238,Ryan Orton,31364,MPO,NT,0,0,0,92.71,0,0,0,1
239,Trevor Wilkerson,61404,MPO,NT,0,0,0,92.71,0,0,0,1
240,Quintin Becker,69961,MPO,NT,0,0,0,92.71,0,0,0,1
241,Phill Diloné,70955,MPO,NT,0,0,0,92.71,0,0,0,1
242,Collin Bailey,52115,MPO,NT,0,0,0,92.71,0,0,0,1
243,Joshua Patin,56037,MPO,NT,0,0,0,92.71,0,0,0,1
244,DeVan Owens,25168,MPO,NT,0,0,0,92.71,0,0,0,1
245,Billy Lund,24379,MPO,NT,0,0,0,92.71,0,0,0,1
246,Scott Conway,38603,MPO,NT,0,0,0,92.71,0,0,0,1
247,Lance Brown,58644,MPO,NT,0,0,5,73.243,0,0,0,3
248,Nathan Allton,73097,MPO,NT,0,0,0,92.71,0,0,0,1
249,Ben Llena,55402,MPO,NT,0,0,0,92.71,0,0,0,1
250,William Lister,31722,MPO,NT,0,0,0,92.71,0,0,0,1
251,Billy Engel,44458,MPO,NT,0,0,0,92.71,0,0,0,1
252,Robert Centala,77869,MPO,NT,0,0,0,92.71,0,0,0,1
253,Matt Vassil,112603,MPO,NT,0,0,0,92.71,0,0,0,1
254,Maximus Meyer,49865,MPO,NT,0,0,0,92.71,0,0,0,1
255,Peter Bures,50464,MPO,NT,0,0,0,92.71,0,0,0,1
256,Douglas Ferrio,89662,MPO,NT,0,0,0,92.149,0,0,0,2
257,Patrick McReynolds,49203,MPO,NT,0,0,0,92.71,0,0,0,1
258,Justin Larson,92107,MPO,NT,0,0,0,92.71,0,0,0,1
259,Christian Olsen,60666,MPO,NT,0,0,0,92.71,0,0,0,1
260,A.J. Cruz,56635,MPO,NT,0,0,0,92.71,0,0,0,1
261,Colin Poe,74005,MPO,NT,0,0,0,92.71,0,0,0,1
262,Dylan Brogren,128145,MPO,NT,0,0,0,92.71,0,0,0,1
263,Ross Marshall,76466,MPO,NT,0,0,0,92.71,0,0,0,1
264,Andrew Cornwell,78239,MPO,NT,0,0,0,92.71,0,0,0,1
265,Josiah Griffin,90955,MPO,NT,0,0,0,92.71,0,0,0,1
266,Drew Cantrell,80089,MPO,NT,0,0,0,92.71,0,0,0,1
267,Truyn Mosher,128154,MPO,NT,0,0,0,92.71,0,0,0,1
268,Shawn Sullivan,46190,MPO,NT,0,0,0,92.71,0,0,0,1
269,Maverick Robertson,65118,MPO,NT,0,0,0,92.71,0,0,0,1
270,Tyler Lamm,89459,MPO,NT,0,0,0,92.71,0,0,0,1
271,Josh Bergquist,72478,MPO,NT,0,0,0,92.71,0,0,0,1
272,Jonathan Propalis,55926,MPO,NT,0,0,0,88.0,0,0,0,2
273,Sias Elmore,57425,MPO,NT,0,0,0,89.076,0,0,0,2
274,Paige Pierce,29190,FPO,DGPT,1000,1000,1000,1.0,0,10,0,0
275,Eagle Wynne McMahon,37817,MPO,DGPT,1000,1000,1000,1.48,0,9,0,0
276,Catrina Allen,44184,FPO,DGPT,1000,1000,1000,2.0,2,10,0,0
277,Calvin Heimburg,45971,MPO,DGPT,1000,1000,1000,2.848,2,10,0,0
278,Ezra Aderhold,121715,MPO,DGPT,46,1000,1000,9.71,6,10,0,0
279,Jessica Weese,50656,FPO,DGPT,1000,1000,1000,4.659,3,10,0,0
280,Garrett Gurthie,13864,MPO,DGPT,0,999,1000,12.653,3,10,0,0
281,Ohn Scoggins,48976,FPO,DGPT,0,948,1000,13.297,1,5,0,0
282,Richard Wysocki,38008,MPO,DGPT,1000,1000,1000,1.672,3,9,0,0
283,Hailey King,81351,FPO,DGPT,1000,1000,1000,6.586,1,8,0,0
284,Kona Star Panis,27832,FPO,DGPT,1000,1000,1000,6.307,3,10,0,0
285,Sarah Hokom,34563,FPO,DGPT,1000,1000,1000,3.859,2,8,0,0
286,Drew Gibson,48346,MPO,DGPT,0,965,1000,12.886,2,8,0,0
287,Kevin Jones,41760,MPO,DGPT,1000,1000,1000,5.424,3,10,0,0
288,Brian Earhart,45879,MPO,DGPT,0,0,0,56.407,1,10,0,0
289,Rebecca Cox,32917,FPO,DGPT,0,1000,1000,12.883,3,8,0,0
290,Paul McBeth,27523,MPO,DGPT,1000,1000,1000,4.0,1,9,0,0
291,Missy Gannon,85942,FPO,DGPT,1000,1000,1000,3.586,3,10,0,0
292,Valerie Mandujano,62879,FPO,DGPT,18,1000,1000,10.427,1,7,0,0
293,Clint Calvin,84958,MPO,DGPT,0,0,0,67.856,1,1,0,0
294,James Conrad,17295,MPO,DGPT,839,1000,1000,7.227,2,10,0,0
295,Paul Ulibarri,27171,MPO,DGPT,0,274,1000,18.811,3,9,0,0
296,Nicole Bradley,51229,FPO,DGPT,0,0,0,37.461,1,2,0,0
297,Madison Walker,59431,FPO,DGPT,0,963,1000,14.179,0,8,0,0
298,Colten Montgomery,35876,MPO,DGPT,0,88,1000,21.329,3,10,0,0
299,Callie McMorran,64751,FPO,DGPT,0,0,1000,27.267,0,4,0,0
300,Lisa Fajkus,32654,FPO,DGPT,0,938,1000,13.731,3,6,0,0
301,Adam Hammes,57365,MPO,DGPT,406,1000,1000,8.503,2,10,0,0
302,Maria Oliva,63257,FPO,DGPT,0,0,1000,25.145,1,3,0,0
303,Thomas Gilbert,85850,MPO,DGPT,0,39,1000,24.332,3,10,0,0
304,Jeremy Koling,33705,MPO,DGPT,0,82,1000,22.352,2,9,0,0
305,Zoe AnDyke,39504,FPO,DGPT,0,0,999,29.979,1,3,0,0
306,Nathan Sexton,18824,MPO,DGPT,0,0,0,39.62,1,5,0,0
307,Terry Rothlisberger,57493,MPO,DGPT,0,0,56,41.639,3,8,0,0
308,Holyn Handley,133547,FPO,DGPT,0,0,0,38.513,1,2,0,0
309,Jennifer Allen,15354,FPO,DGPT,0,0,0,62.299,1,1,0,0
310,Philo Brathwaite,26416,MPO,DGPT,0,0,47,42.75,5,6,0,0
311,Madison Tomaino,60798,FPO,DGPT,0,0,0,50.538,0,2,0,0
312,Mason Ford,72844,MPO,DGPT,0,2,600,30.754,1,7,0,0
